,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,HmG,RdG,Gp90,SCpct,Year,Season,GWA,HmA,RdA,Ap90,SOGpct,FC,FS,OFF,YC,RC,PKG,PKA,Last Name,First Name,Club_Dup,First Name_Dup,Player_Dup,POS_Dup,Base Salary,Guaranteed Compensation,Date
45,Edson Buddle,LA,F,26.0,15.0,1251.0,5.0,2.0,47.0,23.0,2.0,4.0,1.0,0.36,10.6,2007,REG,1.0,2.0,0.0,0.14,48.9,29.0,21.0,19.0,3.0,0.0,0.0,0.0,Buddle,Edson,LA,Edson,Edson Buddle,F,140000.0,150000.0,2007-08-31
46,Chris Brown,RSL,M-F,22.0,12.0,1083.0,5.0,0.0,23.0,13.0,0.0,2.0,3.0,0.42,21.7,2007,REG,0.0,0.0,0.0,0.0,56.5,9.0,12.0,4.0,0.0,0.0,0.0,0.0,Brown,Chris,CHI,C.J.,C.J. Brown,D,106391.0,106391.0,2007-08-31
47,Chris Brown,RSL,M-F,22.0,12.0,1083.0,5.0,0.0,23.0,13.0,0.0,2.0,3.0,0.42,21.7,2007,REG,0.0,0.0,0.0,0.0,56.5,9.0,12.0,4.0,0.0,0.0,0.0,0.0,Brown,Chris,RSL,Chris,Chris Brown,M-F,70000.0,70000.0,2007-08-31
48,Chris Brown,RSL,M-F,22.0,12.0,1083.0,5.0,0.0,23.0,13.0,0.0,2.0,3.0,0.42,21.7,2007,REG,0.0,0.0,0.0,0.0,56.5,9.0,12.0,4.0,0.0,0.0,0.0,0.0,Brown,Chris,RSL,Kyle,Kyle Brown,F,17700.0,17700.0,2007-08-31
49,Roberto Brown,COL,F,13.0,8.0,696.0,3.0,0.0,14.0,4.0,2.0,2.0,1.0,0.39,21.4,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,11.0,16.0,2.0,1.0,0.0,0.0,Brown,Roberto,CHI,C.J.,C.J. Brown,D,106391.0,106391.0,2007-08-31
50,Roberto Brown,COL,F,13.0,8.0,696.0,3.0,0.0,14.0,4.0,2.0,2.0,1.0,0.39,21.4,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,11.0,16.0,2.0,1.0,0.0,0.0,Brown,Roberto,RSL,Chris,Chris Brown,M-F,70000.0,70000.0,2007-08-31
51,Roberto Brown,COL,F,13.0,8.0,696.0,3.0,0.0,14.0,4.0,2.0,2.0,1.0,0.39,21.4,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,11.0,16.0,2.0,1.0,0.0,0.0,Brown,Roberto,RSL,Kyle,Kyle Brown,F,17700.0,17700.0,2007-08-31
52,Kyle Brown,RSL,F,8.0,3.0,286.0,2.0,0.0,7.0,4.0,1.0,1.0,1.0,0.63,28.6,2007,REG,0.0,0.0,0.0,0.0,57.1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,Brown,Kyle,CHI,C.J.,C.J. Brown,D,106391.0,106391.0,2007-08-31
53,Kyle Brown,RSL,F,8.0,3.0,286.0,2.0,0.0,7.0,4.0,1.0,1.0,1.0,0.63,28.6,2007,REG,0.0,0.0,0.0,0.0,57.1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,Brown,Kyle,RSL,Chris,Chris Brown,M-F,70000.0,70000.0,2007-08-31
54,Kyle Brown,RSL,F,8.0,3.0,286.0,2.0,0.0,7.0,4.0,1.0,1.0,1.0,0.63,28.6,2007,REG,0.0,0.0,0.0,0.0,57.1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,Brown,Kyle,RSL,Kyle,Kyle Brown,F,17700.0,17700.0,2007-08-31
55,C.J. Brown,CHI,D,29.0,29.0,2565.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,21.0,0.0,7.0,0.0,0.0,0.0,Brown,C.J.,CHI,C.J.,C.J. Brown,D,106391.0,106391.0,2007-08-31
56,C.J. Brown,CHI,D,29.0,29.0,2565.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,21.0,0.0,7.0,0.0,0.0,0.0,Brown,C.J.,RSL,Chris,Chris Brown,M-F,70000.0,70000.0,2007-08-31
57,C.J. Brown,CHI,D,29.0,29.0,2565.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,28.6,31.0,21.0,0.0,7.0,0.0,0.0,0.0,Brown,C.J.,RSL,Kyle,Kyle Brown,F,17700.0,17700.0,2007-08-31
58,Yura Movsisyan,RSL,F,23.0,9.0,993.0,5.0,0.0,42.0,13.0,1.0,2.0,3.0,0.45,11.9,2007,REG,0.0,0.0,0.0,0.0,31.0,25.0,24.0,4.0,1.0,1.0,0.0,0.0,Movsisyan,Yura,KC,Yura,Yura Movsisyan,F,35750.0,45750.0,2007-08-31
59,Steve Ralston,NE,M,26.0,26.0,2337.0,4.0,14.0,33.0,18.0,2.0,4.0,0.0,0.15,12.1,2007,REG,2.0,9.0,5.0,0.54,54.5,16.0,29.0,3.0,1.0,0.0,0.0,0.0,Ralston,Steve,NE,Steve,Steve Ralston,M,150000.0,150000.0,2007-08-31
60,Sacha Kljestan,OCS,M,25.0,25.0,2186.0,4.0,13.0,40.0,21.0,0.0,1.0,3.0,0.16,10.0,2007,REG,3.0,8.0,5.0,0.54,52.5,45.0,34.0,2.0,5.0,0.0,1.0,1.0,Kljestan,Sacha,CHV,Sacha,Sacha Kljestan,M,70000.0,103000.0,2007-08-31
61,Davy Arnaud,KC,M,28.0,28.0,2489.0,4.0,9.0,74.0,29.0,0.0,1.0,3.0,0.14,5.4,2007,REG,2.0,4.0,5.0,0.33,39.2,46.0,63.0,9.0,6.0,1.0,0.0,0.0,Arnaud,Davy,KC,Davy,Davy Arnaud,M,100000.0,101875.0,2007-08-31
62,Cuauhtemoc Blanco,CHI,M,14.0,14.0,1233.0,4.0,7.0,26.0,14.0,2.0,2.0,2.0,0.29,15.4,2007,REG,2.0,4.0,3.0,0.51,53.8,8.0,61.0,7.0,3.0,0.0,1.0,2.0,Blanco,Cuauhtemoc,CHI,Cuauhtemoc,Cuauhtemoc Blanco,F,2492316.0,2666778.0,2007-08-31
63,Cobi Jones,LA,M,25.0,19.0,1679.0,4.0,5.0,19.0,12.0,1.0,4.0,0.0,0.21,21.1,2007,REG,3.0,4.0,1.0,0.27,63.2,9.0,26.0,7.0,0.0,0.0,0.0,0.0,Jones,Cobi,DAL,Scott,Scott Jones,M,12900.0,12900.0,2007-08-31
64,Cobi Jones,LA,M,25.0,19.0,1679.0,4.0,5.0,19.0,12.0,1.0,4.0,0.0,0.21,21.1,2007,REG,3.0,4.0,1.0,0.27,63.2,9.0,26.0,7.0,0.0,0.0,0.0,0.0,Jones,Cobi,LA,Cobi,Cobi Jones,M,95000.0,95000.0,2007-08-31
65,Scott Jones,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jones,Scott,DAL,Scott,Scott Jones,M,12900.0,12900.0,2007-08-31
66,Scott Jones,DAL,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jones,Scott,LA,Cobi,Cobi Jones,M,95000.0,95000.0,2007-08-31
67,Shalrie Joseph,NE,M,27.0,27.0,2366.0,4.0,5.0,42.0,14.0,1.0,3.0,1.0,0.15,9.5,2007,REG,4.0,2.0,3.0,0.19,33.3,55.0,52.0,5.0,4.0,1.0,3.0,4.0,Joseph,Shalrie,NE,Shalrie,Shalrie Joseph,D,170625.0,180625.0,2007-08-31
