,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
387,Bobby Shuttleworth,MIN,GK,32.0,32.0,2880.0,141.0,94.0,40.0,1.25,16.0,12.0,4.0,8.0,50.0,66.7,2014,REG,2.0,4.0,Shuttleworth,Bobby,MIN,,,,,,,,
403,Júlio César,BRA,GK,7.0,7.0,630.0,27.0,18.0,9.0,1.29,3.0,4.0,0.0,2.0,42.9,66.7,2014,REG,2.0,2.0,César,Júlio,UNK,,,,,,,,
406,Jon Kempin,CLB,GK,4.0,3.0,315.0,13.0,5.0,7.0,2.33,1.0,2.0,0.0,0.0,25.0,38.5,2014,REG,0.0,1.0,Kempin,Jon,CLB,,,,,,,,
407,Rais MBolhi,ALG,GK,4.0,4.0,360.0,13.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,25.0,53.8,2014,REG,0.0,0.0,MBolhi,Rais,UNK,,,,,,,,
420,Matt Pickens,COL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,REG,0.0,0.0,Pickens,Matt,COL,,,,,,,,
434,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
437,Santiago Castaño,NY,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,REG,0.0,0.0,Castaño,Santiago,NY,,,,,,,,
450,Bobby Shuttleworth,MIN,GK,31.0,31.0,2790.0,125.0,78.0,41.0,1.32,13.0,11.0,7.0,8.0,41.9,62.4,2015,REG,5.0,6.0,Shuttleworth,Bobby,MIN,,,,,,,,
471,Luis Marin,KC,GK,8.0,8.0,720.0,30.0,19.0,12.0,1.5,2.0,2.0,4.0,3.0,25.0,63.3,2015,REG,0.0,0.0,Marin,Luis,KC,,,,,,,,
475,Rais MBolhi,ALG,GK,5.0,5.0,450.0,20.0,10.0,9.0,1.8,0.0,3.0,2.0,1.0,0.0,50.0,2015,REG,1.0,1.0,MBolhi,Rais,UNK,,,,,,,,
480,Jon Kempin,CLB,GK,3.0,3.0,270.0,11.0,6.0,5.0,1.67,1.0,1.0,1.0,0.0,33.3,54.5,2015,REG,0.0,0.0,Kempin,Jon,CLB,,,,,,,,
488,Kristian Nicht,MTL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,REG,0.0,0.0,Nicht,Kristian,MTL,,,,,,,,
492,Earl Edwards Jr.,OCS,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,REG,0.0,0.0,Edwards Jr.,Earl,ORL,,,,,,,,
494,Santiago Castaño,NYR,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,REG,0.0,0.0,Castaño,Santiago,NY,,,,,,,,
501,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
502,Akira Fitzgerald,NYC,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,REG,0.0,0.0,Fitzgerald,Akira,NYCFC,,,,,,,,
526,Bobby Shuttleworth,MIN,GK,21.0,20.0,1814.0,89.0,50.0,38.0,1.9,4.0,9.0,8.0,5.0,19.0,56.2,2016,REG,4.0,6.0,Shuttleworth,Bobby,MIN,,,,,,,,
549,Cody Cropper,NE,GK,1.0,1.0,90.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,100.0,2016,REG,0.0,0.0,Cropper,Cody,NE,,,,,,,,
559,Lalo Fernandez,RSL,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,REG,0.0,0.0,Fernandez,Lalo,RSL,,,,,,,,
560,Jon Kempin,CLB,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,REG,0.0,0.0,Kempin,Jon,CLB,,,,,,,,
566,Earl Edwards Jr.,OCS,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,REG,0.0,0.0,Edwards Jr.,Earl,ORL,,,,,,,,
588,Cody Cropper,NE,GK,28.0,28.0,2520.0,124.0,71.0,50.0,1.79,10.0,14.0,4.0,8.0,35.7,57.3,2017,REG,4.0,4.0,Cropper,Cody,NE,,,,,,,,
608,Jon Kempin,CLB,GK,7.0,7.0,570.0,40.0,27.0,13.0,1.86,1.0,4.0,1.0,2.0,14.3,67.5,2017,REG,0.0,2.0,Kempin,Jon,CLB,,,,,,,,
614,Steve Clark,DC,GK,5.0,5.0,450.0,27.0,13.0,11.0,2.2,1.0,3.0,1.0,1.0,20.0,48.1,2017,REG,2.0,3.0,Clark,Steve,DC,,,,,,,,
620,Richard Sanchez,CHI,GK,2.0,2.0,180.0,15.0,11.0,4.0,2.0,1.0,1.0,0.0,0.0,50.0,73.3,2017,REG,0.0,0.0,Sanchez,Richard,CHI,,,,,,,,
624,Earl Edwards Jr.,OCS,GK,1.0,1.0,90.0,7.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,14.3,2017,REG,0.0,0.0,Edwards Jr.,Earl,ORL,,,,,,,,
