,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name
193,Nick Rimando,RSL,GK,33,33,2970,134,95,36,1.09,14,11,8,13,42.4,70.9,2011,REG,5,7,Rimando,Nick,RSL
194,Jon Busch,SJ,GK,33,33,2970,160,113,44,1.33,7,12,14,7,21.2,70.6,2011,REG,4,4,Busch,Jon,SJ
195,William Hesmer,CLB,GK,32,32,2880,135,92,44,1.38,11,13,8,8,34.4,68.1,2011,REG,3,4,Hesmer,William,CLB
196,Dan Kennedy,CHV,GK,32,32,2880,142,100,39,1.22,8,12,12,9,25.0,70.4,2011,REG,2,4,Kennedy,Dan,CHV
197,Jimmy Nielsen,KC,GK,31,31,2767,114,79,35,1.13,12,8,11,7,38.7,69.3,2011,REG,1,2,Nielsen,Jimmy,KC
198,Troy Perkins,POR,GK,29,29,2610,132,91,38,1.31,9,12,8,9,31.0,68.9,2011,REG,5,5,Perkins,Troy,POR
199,Bill Hamid,DC,GK,28,28,2392,114,77,37,1.32,7,9,10,7,25.0,67.5,2011,REG,4,4,Hamid,Bill,DC
200,Sean Johnson,NYC,GK,28,28,2520,115,76,37,1.32,9,7,12,7,32.1,66.1,2011,REG,2,4,Johnson,Sean,NYCFC
201,Faryd Mondragón,PHI,GK,27,27,2385,79,49,28,1.04,8,8,11,7,29.6,62.0,2011,REG,2,2,Mondragón,Faryd,PHI
202,Stefan Frei,SEA,GK,27,27,2406,155,106,49,1.81,3,12,11,6,11.1,68.4,2011,REG,4,4,Frei,Stefan,SEA
203,Matt Reis,NE,GK,27,27,2430,159,111,43,1.59,5,12,10,5,18.5,69.8,2011,REG,6,7,Reis,Matt,NE
204,Joe Cannon,VAN,GK,20,20,1800,99,66,32,1.6,4,12,4,3,20.0,66.7,2011,REG,3,3,Cannon,Joe,VAN
205,Josh Saunders,LA,GK,19,18,1639,73,55,17,0.94,12,2,4,8,63.2,75.3,2011,REG,2,2,Saunders,Josh,LA
206,Donovan Ricketts,LA,GK,15,15,1284,54,41,11,0.73,7,3,4,7,46.7,75.9,2011,REG,1,1,Ricketts,Donovan,LA
207,Jay Nolly,VAN,GK,14,14,1260,63,39,23,1.64,2,6,6,2,14.3,61.9,2011,REG,3,4,Nolly,Jay,VAN
208,Bouna Coundoul,NY,GK,12,11,1035,51,37,13,1.18,3,2,6,3,25.0,72.5,2011,REG,1,1,Coundoul,Bouna,NY
209,Frank Rost,NY,GK,11,11,945,40,26,14,1.27,4,4,3,5,36.4,65.0,2011,REG,0,0,Rost,Frank,NY
210,Greg Sutton,NY,GK,10,10,900,44,30,15,1.5,3,2,5,2,30.0,68.2,2011,REG,2,5,Sutton,Greg,NY
211,Milos Kocic,TOR,GK,8,7,654,47,35,10,1.43,3,1,4,1,37.5,74.5,2011,REG,0,0,Kocic,Milos,TOR
212,Zac MacMath,COL,GK,8,7,675,25,16,8,1.14,3,0,4,3,37.5,64.0,2011,REG,1,1,MacMath,Zac,COL
213,Bobby Shuttleworth,MIN,GK,7,7,630,32,17,15,2.14,0,4,3,0,0.0,53.1,2011,REG,1,1,Shuttleworth,Bobby,MIN
214,Jon Conway,CHI,GK,6,6,540,24,15,8,1.33,0,2,4,1,0.0,62.5,2011,REG,0,0,Conway,Jon,CHI
215,Eric Kronberg,KC,GK,4,3,292,15,10,5,1.67,1,1,1,1,25.0,66.7,2011,REG,1,1,Kronberg,Eric,KC
216,Jake Gleeson,POR,GK,4,3,315,17,12,6,2.0,2,0,1,0,50.0,70.6,2011,REG,0,0,Gleeson,Jake,POR
217,Joe Willis,HOU,GK,3,3,270,16,12,4,1.33,1,2,0,1,33.3,75.0,2011,REG,0,0,Willis,Joe,HOU
218,Pat Onstad,DC,GK,3,3,270,16,8,7,2.33,1,2,0,0,33.3,50.0,2011,REG,2,2,Onstad,Pat,DC
219,Steve Cronin,DC,GK,2,0,126,10,6,4,4.0,0,0,2,0,0.0,60.0,2011,REG,0,0,Cronin,Steve,DC
220,Adin Brown,POR,GK,2,2,135,9,5,4,2.0,0,2,0,0,0.0,55.6,2011,REG,0,0,Brown,Adin,POR
221,Zach Thornton,CHV,GK,2,2,180,7,3,4,2.0,0,2,0,0,0.0,42.9,2011,REG,0,0,Thornton,Zach,CHV
222,Andy Gruenebaum,CLB,GK,2,2,180,5,5,0,0.0,2,0,0,2,100.0,100.0,2011,REG,0,0,Gruenebaum,Andy,CLB
223,Kyle Reynish,RSL,GK,1,1,90,2,2,0,0.0,1,0,0,1,100.0,100.0,2011,REG,0,0,Reynish,Kyle,RSL
224,Chris Seitz,HOU,GK,1,1,90,9,5,4,4.0,0,1,0,0,0.0,55.6,2011,REG,1,1,Seitz,Chris,HOU
225,Chris Konopka,NY,GK,1,1,90,4,2,2,2.0,0,0,1,0,0.0,50.0,2011,REG,0,0,Konopka,Chris,NY
226,Brian Perk,LA,GK,1,1,90,2,2,0,0.0,0,0,1,1,0.0,100.0,2011,REG,0,1,Perk,Brian,LA
227,David Bingham,LA,GK,1,1,90,5,4,1,1.0,1,0,0,0,100.0,80.0,2011,REG,0,0,Bingham,David,LA
228,Alex Horwath,NY,GK,1,1,90,4,4,0,0.0,0,0,1,1,0.0,100.0,2011,REG,0,0,Horwath,Alex,NY
229,Alec Dufty,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Dufty,Alec,CHI
230,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Kempin,Jon,CLB
231,Alex Riggs,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Riggs,Alex,CLB
232,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Deric,Tyler,HOU
233,Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Murray,Tim,NE
234,Tim Melia,SKC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Melia,Tim,KC
235,Evan Newton,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Newton,Evan,HOU
236,Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Sanchez,Richard,CHI
237,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Sylvestre,Brian,VAN
238,Thorne Holder,PHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Holder,Thorne,PHI
239,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Ford,Josh,SEA
240,Chase Harrison,PHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Harrison,Chase,PHI
241,Bryan Meredith,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Meredith,Bryan,SEA
242,Sergio Arias,CHV,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Arias,Sergio,CHV
243,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Joyce,Ian,COL
244,Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Lambo,Josh,DAL
245,Andrew Weber,SJ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Weber,Andrew,SJ
246,Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Boss,Terry,SEA
247,Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2011,REG,0,0,Ceus,Steward,COL
248,Jimmy Nielsen,KC,GK,34,34,3060,102,77,27,0.79,18,7,9,15,52.9,75.5,2012,REG,3,4,Nielsen,Jimmy,KC
249,Donovan Ricketts,MTL,GK,33,33,2913,143,87,52,1.58,12,14,5,5,36.4,60.8,2012,REG,8,8,Ricketts,Donovan,MTL
250,Andy Gruenebaum,CLB,GK,33,33,2920,166,124,41,1.24,13,12,7,8,39.4,74.7,2012,REG,3,4,Gruenebaum,Andy,CLB
251,Tally Hall,DC,GK,33,33,2946,129,88,39,1.18,14,8,11,12,42.4,68.2,2012,REG,5,5,Hall,Tally,DC
252,Jon Busch,SJ,GK,32,32,2835,123,77,40,1.25,17,5,9,7,53.1,62.6,2012,REG,4,5,Busch,Jon,SJ
253,Matt Pickens,COL,GK,32,32,2859,155,107,49,1.53,9,19,4,7,28.1,69.0,2012,REG,1,2,Pickens,Matt,COL
254,Dan Kennedy,CHV,GK,32,32,2880,167,109,54,1.69,7,17,8,7,21.9,65.3,2012,REG,2,2,Kennedy,Dan,CHV
255,Zac MacMath,COL,GK,32,32,2880,139,93,43,1.34,10,17,5,8,31.3,66.9,2012,REG,3,4,MacMath,Zac,COL
256,Sean Johnson,NYC,GK,31,31,2766,143,108,38,1.23,16,10,5,5,51.6,75.5,2012,REG,2,3,Johnson,Sean,NYCFC
257,Troy Perkins,MTL,GK,31,31,2767,148,101,43,1.39,8,14,8,7,25.8,68.2,2012,REG,4,4,Perkins,Troy,MTL
258,Nick Rimando,RSL,GK,31,31,2790,116,83,33,1.06,16,11,4,12,51.6,71.6,2012,REG,2,4,Rimando,Nick,RSL
259,Kevin Hartman,DAL,GK,30,30,2700,148,98,42,1.4,9,11,10,6,30.0,66.2,2012,REG,2,5,Hartman,Kevin,DAL
260,Matt Reis,NE,GK,27,27,2430,133,92,39,1.44,6,14,7,6,22.2,69.2,2012,REG,3,3,Reis,Matt,NE
261,Josh Saunders,LA,GK,27,27,2430,118,80,36,1.33,16,7,4,9,59.3,67.8,2012,REG,0,1,Saunders,Josh,LA
262,Milos Kocic,TOR,GK,27,27,2430,129,82,47,1.74,5,16,6,3,18.5,63.6,2012,REG,0,1,Kocic,Milos,TOR
263,Joe Cannon,VAN,GK,26,26,2277,109,73,34,1.31,8,10,7,8,30.8,67.0,2012,REG,2,2,Cannon,Joe,VAN
264,Bill Hamid,DC,GK,24,24,2087,113,88,24,1.0,13,6,4,8,54.2,77.9,2012,REG,1,1,Hamid,Bill,DC
265,Michael Gspurning,SEA,GK,21,21,1845,77,59,15,0.71,12,4,5,8,57.1,76.6,2012,REG,2,2,Gspurning,Michael,SEA
266,Ryan Meara,NY,GK,18,18,1620,90,59,27,1.5,9,5,4,3,50.0,65.6,2012,REG,1,1,Meara,Ryan,NY
267,Bill Gaudette,LA,GK,15,15,1350,62,38,20,1.33,5,5,5,3,33.3,61.3,2012,REG,1,1,Gaudette,Bill,LA
268,Bryan Meredith,SEA,GK,12,10,990,36,20,14,1.4,3,3,5,3,25.0,55.6,2012,REG,0,0,Meredith,Bryan,SEA
269,Joe Willis,HOU,GK,11,10,972,50,31,19,1.9,4,4,3,2,36.4,62.0,2012,REG,2,2,Willis,Joe,HOU
270,Brad Knighton,NE,GK,10,8,782,36,27,7,0.88,3,3,3,3,30.0,75.0,2012,REG,0,1,Knighton,Brad,NE
271,Bobby Shuttleworth,MIN,GK,7,7,630,29,23,5,0.71,3,3,1,3,42.9,79.3,2012,REG,0,0,Shuttleworth,Bobby,MIN
272,Freddy Hall,TOR,GK,7,7,630,42,27,15,2.14,0,5,2,1,0.0,64.3,2012,REG,1,1,Hall,Freddy,TOR
273,Joe Bendik,OCS,GK,5,3,326,21,11,8,2.67,0,2,3,0,0.0,52.4,2012,REG,2,2,Bendik,Joe,ORL
274,Brian Perk,LA,GK,4,4,360,13,7,7,1.75,0,3,1,0,0.0,53.8,2012,REG,2,2,Perk,Brian,LA
275,Chris Seitz,HOU,GK,4,4,360,15,10,5,1.25,0,2,2,0,0.0,66.7,2012,REG,0,1,Seitz,Chris,HOU
276,Luis Robles,NY,GK,4,4,360,12,9,3,0.75,2,1,1,2,50.0,75.0,2012,REG,0,0,Robles,Luis,NY
277,Matt Lampson,MIN,GK,3,1,140,10,7,3,3.0,2,0,0,0,66.7,70.0,2012,REG,1,1,Lampson,Matt,MIN
278,Steward Ceus,COL,GK,3,2,201,5,4,1,0.5,2,0,0,2,66.7,80.0,2012,REG,0,0,Ceus,Steward,COL
279,Andrew Weber,SEA,GK,3,3,225,9,5,4,1.33,0,1,1,0,0.0,55.6,2012,REG,0,0,Weber,Andrew,SEA
280,David Bingham,LA,GK,3,2,225,12,8,3,1.5,2,1,0,0,66.7,66.7,2012,REG,0,0,Bingham,David,LA
281,Paolo Tornaghi,CHI,GK,3,3,270,17,14,3,1.0,1,1,1,1,33.3,82.4,2012,REG,0,0,Tornaghi,Paolo,CHI
282,Kyle Reynish,RSL,GK,3,3,270,8,6,2,0.67,1,0,2,2,33.3,75.0,2012,REG,0,0,Reynish,Kyle,RSL
283,Tim Melia,SKC,GK,2,2,180,13,9,4,2.0,0,1,1,0,0.0,69.2,2012,REG,0,0,Melia,Tim,KC
284,Greg Sutton,MTL,GK,1,0,24,1,0,1,1.0,0,1,0,0,0.0,0.0,2012,REG,0,0,Sutton,Greg,MTL
285,Chris Konopka,PHI,GK,1,1,90,7,6,1,1.0,0,1,0,0,0.0,85.7,2012,REG,0,0,Konopka,Chris,PHI
286,Tyler Deric,HOU,GK,1,1,90,9,7,2,2.0,0,1,0,0,0.0,77.8,2012,REG,0,0,Deric,Tyler,HOU
287,Chase Harrison,PHI,GK,1,1,90,3,2,1,1.0,0,0,1,0,0.0,66.7,2012,REG,0,0,Harrison,Chase,PHI
288,Evan Bush,MTL,GK,1,1,90,7,4,3,3.0,0,1,0,0,0.0,57.1,2012,REG,0,0,Bush,Evan,MTL
289,Brian Rowe,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Rowe,Brian,VAN
290,Jeremy Vuolo,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Vuolo,Jeremy,NY
291,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Marscheider,Erich,HOU
292,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Roberts,Quillan,TOR
293,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Fernandez,Lalo,RSL
294,Patrick McLain,CHV,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,McLain,Patrick,CHV
295,Scott Angevine,KC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Angevine,Scott,KC
296,Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Murray,Tim,NE
297,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Kempin,Jon,CLB
298,Evan Newton,SJ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Newton,Evan,SJ
299,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Ford,Josh,SEA
300,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Sylvestre,Brian,VAN
301,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Gleeson,Jake,POR
302,Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Sanchez,Richard,CHI
303,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Joyce,Ian,COL
304,Stefan Frei,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Frei,Stefan,SEA
305,Andrew Dykstra,SKC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Dykstra,Andrew,KC
306,Marcus Hahnemann,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Hahnemann,Marcus,SEA
307,William Hesmer,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Hesmer,William,CLB
308,Jay Nolly,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Nolly,Jay,CHI
309,Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2012,REG,0,0,Kronberg,Eric,KC
310,Jimmy Nielsen,KC,GK,34,34,3060,100,68,30,0.88,17,10,7,13,50.0,68.0,2013,REG,1,1,Nielsen,Jimmy,KC
311,Luis Robles,NY,GK,34,34,3060,147,103,41,1.21,17,9,8,11,50.0,70.1,2013,REG,7,10,Robles,Luis,NY
312,Tally Hall,DC,GK,34,34,3060,141,95,41,1.21,14,11,9,9,41.2,67.4,2013,REG,2,4,Hall,Tally,DC
313,Zac MacMath,COL,GK,34,34,3060,147,101,44,1.29,12,12,10,12,35.3,68.7,2013,REG,1,1,MacMath,Zac,COL
314,Joe Bendik,OCS,GK,33,33,2970,139,90,46,1.39,6,16,11,4,18.2,64.7,2013,REG,2,2,Bendik,Joe,ORL
315,Troy Perkins,MTL,GK,33,33,2970,158,109,48,1.45,14,12,7,8,42.4,69.0,2013,REG,4,6,Perkins,Troy,MTL
316,Jon Busch,SJ,GK,33,33,2970,142,101,41,1.24,13,11,9,9,39.4,71.1,2013,REG,3,3,Busch,Jon,SJ
317,Clint Irwin,TOR,GK,32,31,2873,132,91,35,1.13,14,9,9,10,43.8,68.9,2013,REG,6,8,Irwin,Clint,TOR
318,Donovan Ricketts,POR,GK,32,32,2880,126,92,31,0.97,13,5,14,14,40.6,73.0,2013,REG,4,5,Ricketts,Donovan,POR
319,Dan Kennedy,CHV,GK,31,31,2754,166,104,54,1.74,6,17,8,3,19.4,62.7,2013,REG,3,4,Kennedy,Dan,CHV
320,Michael Gspurning,SEA,GK,28,28,2475,114,76,35,1.25,12,9,6,10,42.9,66.7,2013,REG,2,2,Gspurning,Michael,SEA
321,Sean Johnson,NYC,GK,28,28,2520,132,93,39,1.39,12,10,6,6,42.9,70.5,2013,REG,3,4,Johnson,Sean,NYCFC
322,Nick Rimando,RSL,GK,27,27,2430,112,82,28,1.04,14,7,6,9,51.9,73.2,2013,REG,1,3,Rimando,Nick,RSL
323,Raul Fernandez,DAL,GK,26,26,2340,129,88,41,1.58,7,10,9,7,26.9,68.2,2013,REG,2,3,Fernandez,Raul,DAL
324,Bill Hamid,DC,GK,25,25,2250,119,80,39,1.56,2,17,6,4,8.0,67.2,2013,REG,4,6,Hamid,Bill,DC
325,Bobby Shuttleworth,MIN,GK,23,22,2063,96,64,30,1.36,7,11,5,9,30.4,66.7,2013,REG,3,3,Shuttleworth,Bobby,MIN
326,Carlo Cudicini,LA,GK,21,21,1890,68,39,27,1.29,9,8,4,7,42.9,57.4,2013,REG,0,1,Cudicini,Carlo,LA
327,Andy Gruenebaum,CLB,GK,21,21,1890,100,71,28,1.33,5,11,5,4,23.8,71.0,2013,REG,2,2,Gruenebaum,Andy,CLB
328,David Ousted,DC,GK,13,13,1170,54,37,16,1.23,4,5,4,4,30.8,68.5,2013,REG,1,1,Ousted,David,DC
329,Matt Lampson,MIN,GK,13,13,1170,63,43,18,1.38,7,6,0,5,53.8,68.3,2013,REG,3,3,Lampson,Matt,MIN
330,Matt Reis,NE,GK,12,12,995,37,29,8,0.67,7,0,4,5,58.3,78.4,2013,REG,0,0,Reis,Matt,NE
331,Brad Knighton,NE,GK,11,11,990,50,35,15,1.36,6,3,2,2,54.5,70.0,2013,REG,2,2,Knighton,Brad,NE
332,Joe Cannon,VAN,GK,10,10,900,42,31,14,1.4,3,4,3,1,30.0,73.8,2013,REG,0,0,Cannon,Joe,VAN
333,Jaime Penedo,LA,GK,9,9,810,31,24,7,0.78,4,1,4,4,44.4,77.4,2013,REG,0,0,Penedo,Jaime,LA
334,Joe Willis,HOU,GK,9,9,810,47,28,20,2.22,1,7,1,1,11.1,59.6,2013,REG,1,1,Willis,Joe,HOU
335,Chris Seitz,HOU,GK,8,8,720,36,24,11,1.38,4,2,2,2,50.0,66.7,2013,REG,0,0,Seitz,Chris,HOU
336,Paolo Tornaghi,CHI,GK,6,6,540,24,12,13,2.17,2,3,1,0,33.3,50.0,2013,REG,0,0,Tornaghi,Paolo,CHI
337,Jeff Attinella,POR,GK,5,4,399,24,14,9,2.25,1,2,1,1,20.0,58.3,2013,REG,3,3,Attinella,Jeff,POR
338,Brian Rowe,VAN,GK,4,4,360,19,14,4,1.0,2,2,0,2,50.0,73.7,2013,REG,0,0,Rowe,Brian,VAN
339,Marcus Hahnemann,SEA,GK,4,4,360,10,6,4,1.0,2,2,0,1,50.0,60.0,2013,REG,0,0,Hahnemann,Marcus,SEA
340,Andrew Weber,SEA,GK,3,2,225,8,5,3,1.5,1,1,1,0,33.3,62.5,2013,REG,0,0,Weber,Andrew,SEA
341,Josh Saunders,RSL,GK,3,3,231,18,13,4,1.33,1,1,1,0,33.3,72.2,2013,REG,0,0,Saunders,Josh,RSL
342,Matt Pickens,COL,GK,2,2,97,4,2,2,1.0,0,1,0,0,0.0,50.0,2013,REG,0,0,Pickens,Matt,COL
343,Patrick McLain,CHV,GK,2,1,124,10,4,6,6.0,0,1,0,0,0.0,40.0,2013,REG,1,1,McLain,Patrick,CHV
344,Tim Melia,SKC,GK,2,2,180,15,8,7,3.5,0,2,0,0,0.0,53.3,2013,REG,1,1,Melia,Tim,KC
345,Milos Kocic,POR,GK,2,2,180,10,7,2,1.0,1,0,1,1,50.0,70.0,2013,REG,0,0,Kocic,Milos,POR
346,Stefan Frei,SEA,GK,1,1,90,3,2,1,1.0,0,1,0,0,0.0,66.7,2013,REG,1,1,Frei,Stefan,SEA
347,Steward Ceus,COL,GK,1,1,90,6,5,1,1.0,0,1,0,0,0.0,83.3,2013,REG,0,0,Ceus,Steward,COL
348,David Bingham,LA,GK,1,1,90,8,7,1,1.0,1,0,0,0,100.0,87.5,2013,REG,0,0,Bingham,David,LA
349,Evan Bush,MTL,GK,1,1,90,7,6,1,1.0,0,1,0,0,0.0,85.7,2013,REG,0,0,Bush,Evan,MTL
350,Ryan Meara,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Meara,Ryan,NY
351,Santiago Castaño,NY,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Castaño,Santiago,NY
352,Luis Soffner,NE,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Soffner,Luis,NE
353,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Zobeck,Kyle,DAL
354,Daniel Withrow,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Withrow,Daniel,CLB
355,Maxime Crepeau,MTL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Crepeau,Maxime,MTL
356,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Kann,Alec,ATL
357,Jesse Gonzalez,DAL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Gonzalez,Jesse,DAL
358,Evan Newton,SJ,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Newton,Evan,SJ
359,Jake Gleeson,POR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Gleeson,Jake,POR
360,Richard Sanchez,CHI,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Sanchez,Richard,CHI
361,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Kempin,Jon,CLB
362,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Deric,Tyler,HOU
363,Erich Marscheider,HOU,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Marscheider,Erich,HOU
364,Quillan Roberts,TOR,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Roberts,Quillan,TOR
365,Lalo Fernandez,RSL,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Fernandez,Lalo,RSL
366,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Ford,Josh,SEA
367,Simon Thomas,CAN,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Thomas,Simon,UNK
368,Andrew Dykstra,SKC,GK,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,2013,REG,0,0,Dykstra,Andrew,KC
